calmcvm, r_cs_grep_v_up, tbd, cs | grep -v UP, idx059, Threshold exceeded, / (77%) 
corecvm, r_cs_grep_v_up, tbd, cs | grep -v UP, idx059, Threshold exceeded, / (77%) 
engrcvm, r_cs_grep_v_up, tbd, cs | grep -v UP, idx059, Threshold exceeded, / (77%) 
pccvm, r_cs_grep_v_up, tbd, cs | grep -v UP, idx059, Threshold exceeded, / (77%) 
pecvm, r_cs_grep_v_up, tbd, cs | grep -v UP, idx059, Threshold exceeded, / (77%) 
calmcvm, r_cs_grep_v_up, tbd, cs | grep -v UP, idx059, Threshold exceeded, / (77%) 
corecvm, r_cs_grep_v_up, tbd, cs | grep -v UP, idx059, Threshold exceeded, / (77%) 
engrcvm, r_cs_grep_v_up, tbd, cs | grep -v UP, idx059, Threshold exceeded, / (77%) 
pccvm, r_cs_grep_v_up, tbd, cs | grep -v UP, idx059, Threshold exceeded, / (77%) 
calmcvm, r_cs_grep_v_up, tbd, cs | grep -v UP, idx059, Threshold exceeded, / (77%) 
corecvm, r_cs_grep_v_up, tbd, cs | grep -v UP, idx059, Threshold exceeded, / (77%) 
engrcvm, r_cs_grep_v_up, tbd, cs | grep -v UP, idx059, Threshold exceeded, / (77%) 
calmcvm, r_cs_grep_v_up, tbd, cs | grep -v UP, idx059, Threshold exceeded, / (77%) 
corecvm, r_cs_grep_v_up, tbd, cs | grep -v UP, idx059, Threshold exceeded, / (77%) 
calmcvm, r_cs_grep_v_up, tbd, cs | grep -v UP, idx059, Threshold exceeded, / (77%) 
calmcvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
corecvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
engrcvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 3, Errors: 5) 
pccvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 3, Errors: 5) 
pecvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 333, Errors: 666) 
calmcvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
corecvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
engrcvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 3, Errors: 5) 
pccvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 3, Errors: 5) 
calmcvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
corecvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
engrcvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 3, Errors: 5) 
calmcvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
corecvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
calmcvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
calmcvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
corecvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
engrcvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 3, Errors: 5) 
pccvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 3, Errors: 5) 
pecvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 333, Errors: 666) 
calmcvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
corecvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
engrcvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 3, Errors: 5) 
pccvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 3, Errors: 5) 
calmcvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
corecvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
engrcvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 3, Errors: 5) 
calmcvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
corecvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
calmcvm, r_ncc_health_checks_run_all, tbd, ncc health_checks run_all (non-role), idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
corecvm, r_hostssh_nvidia-smi, tbd, hostssh nvidia-smi, idx016, ['Storage OK', 'Temperature NOK'], [{'ip': '111.222.1.1', 'gpu_index': '0', 'storage_ratio': 0.49}, {'ip': '111.222.1.1', 'gpu_index': '0', 'storage_ratio': 0.24}, {'ip': '111.222.1.2', 'gpu_index': '0', 'storage_ratio': 0.49}, {'ip': '111.222.1.2', 'gpu_index': '0', 'storage_ratio': 0.24}, {'ip': '111.222.1.3', 'gpu_index': '0', 'storage_ratio': 0.49}, {'ip': '111.222.1.3', 'gpu_index': '0', 'storage_ratio': 0.24}, {'ip': '111.222.1.1', 'gpu_index': '0', 'temperature': '35C'}, {'ip': '111.222.1.1', 'gpu_index': '0', 'temperature': '35C'}, {'ip': '111.222.1.2', 'gpu_index': '0', 'temperature': '45C'}, {'ip': '111.222.1.2', 'gpu_index': '0', 'temperature': '55C'}, {'ip': '111.222.1.3', 'gpu_index': '0', 'temperature': '35C'}, {'ip': '111.222.1.3', 'gpu_index': '0', 'temperature': ''}] 
corecvm, r_hostssh_nvidia-smi, tbd, hostssh nvidia-smi, idx016, ['Storage OK', 'Temperature NOK'], [{'ip': '111.222.1.1', 'gpu_index': '0', 'storage_ratio': 0.49}, {'ip': '111.222.1.1', 'gpu_index': '0', 'storage_ratio': 0.24}, {'ip': '111.222.1.2', 'gpu_index': '0', 'storage_ratio': 0.49}, {'ip': '111.222.1.2', 'gpu_index': '0', 'storage_ratio': 0.24}, {'ip': '111.222.1.3', 'gpu_index': '0', 'storage_ratio': 0.49}, {'ip': '111.222.1.3', 'gpu_index': '0', 'storage_ratio': 0.24}, {'ip': '111.222.1.1', 'gpu_index': '0', 'temperature': '35C'}, {'ip': '111.222.1.1', 'gpu_index': '0', 'temperature': '35C'}, {'ip': '111.222.1.2', 'gpu_index': '0', 'temperature': '45C'}, {'ip': '111.222.1.2', 'gpu_index': '0', 'temperature': '55C'}, {'ip': '111.222.1.3', 'gpu_index': '0', 'temperature': '35C'}, {'ip': '111.222.1.3', 'gpu_index': '0', 'temperature': ''}] 
corecvm, r_hostssh_nvidia-smi, tbd, hostssh nvidia-smi, idx016,                Storage OK ,                
corecvm, r_hostssh_nvidia-smi, tbd, hostssh nvidia-smi, idx016,                Storage OK ,                
corecvm, r_hostssh_systemctl_status_dbus-mgr, tbd, hostssh sudo systemctl status dbus, idx015, Not all active, [['111.222.10.2', 'dbus.service', 'inactive'], ['111.222.10.3', 'dbus.service', 'inactive']] 
corecvm, r_hostssh_systemctl_status_dbus-mgr, tbd, hostssh sudo systemctl status dbus, idx015, Not all active, [['111.222.10.2', 'dbus.service', 'inactive'], ['111.222.10.3', 'dbus.service', 'inactive']] 
corecvm, r_hostssh_systemctl_status_nvidia-vgpu-mgr, tbd, hostssh sudo systemctl status nvidia-vgpu-mgr, idx015, Not all active, [['222.111.10.4', 'nvidia-vgpu-mgr.service', 'inactive']] 
corecvm, r_hostssh_systemctl_status_nvidia-vgpu-mgr, tbd, hostssh sudo systemctl status nvidia-vgpu-mgr, idx015, Not all active, [['222.111.10.4', 'nvidia-vgpu-mgr.service', 'inactive']] 
corecvm, r_hostssh_sudo_ovn_appctl_connection_status, tbd, hostssh sudo ovn_appctl connection-status, idx6, Disconnected, 111.222.10.3 - disconnected;  
corecvm, r_hostssh_sudo_ovn_appctl_connection_status, tbd, hostssh sudo ovn_appctl connection-status, idx6, Disconnected, 111.222.10.3 - disconnected;  
calmcvm, r_mspctl_cluster_health_pc, tbd, mspctl cluster health pc, idx057, Unhealthy, Core:false  
calmcvm, r_mspctl_cluster_health_pc, tbd, mspctl cluster health pc, idx057, Unhealthy, Core:false  
calmcvm, r_mspctl_cluster_health_s3, tbd, mspctl cluster health s3, idx057, Unhealthy, Node:false  
