server_12, r_ncc_health_checks_run_all_gg, Infra PC, ncc health_checks run_all, idx3, No log found, Last checked: 2026-08-15 
server_13, r_ncc_health_checks_run_all_gg, IKC2 Tenant PC, ncc health_checks run_all, idx3, No log found, Last checked: 2026-08-15 
server_11, r_ncc_health_checks_run_all_gg, OSIT Object PE, ncc health_checks run_all, idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 333, Errors: 666) 
server_1, r_ncc_health_checks_run_all_gg, Infra PE, ncc health_checks run_all, idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
server_14, r_ncc_health_checks_run_all_gg, OSIT Tenant PC, ncc health_checks run_all, idx3, No log found, Last checked: 2026-08-15 
server_17, r_ncc_health_checks_run_all_gg, IKC2 Calm PC (OTC), ncc health_checks run_all, idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
server_15, r_ncc_health_checks_run_all_gg, IKC2 Object , ncc health_checks run_all, idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 3, Errors: 5) 
server_18, r_ncc_health_checks_run_all_gg, OSIT Calm PC (ITC), ncc health_checks run_all, idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
server_16, r_ncc_health_checks_run_all_gg, OSIT Object PC, ncc health_checks run_all, idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 3, Errors: 5) 
server_19, r_ncc_health_checks_run_all_gg, OSIT Calm PC (OTC), ncc health_checks run_all, idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
server_2, r_ncc_health_checks_run_all_gg, IKCS Tenant 1 PE, ncc health_checks run_all, idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
server_5, r_ncc_health_checks_run_all_gg, IKC2 Tenant 4 PE, ncc health_checks run_all, idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
server_3, r_ncc_health_checks_run_all_gg, IKC2 GPU Tenant 2 PE, ncc health_checks run_all, idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
server_4, r_ncc_health_checks_run_all_gg, IKC2 Tenant 3 PE, ncc health_checks run_all, idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
server_6, r_ncc_health_checks_run_all_gg, IKC2 Service PE, ncc health_checks run_all, idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
server_7, r_ncc_health_checks_run_all_gg, OSIT Tenant 1 PE, ncc health_checks run_all, idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
server_8, r_ncc_health_checks_run_all_gg, OSIT GPU Tenant 2 PE, ncc health_checks run_all, idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
server_9, r_ncc_health_checks_run_all_gg, OSIT Service PE, ncc health_checks run_all, idx3, Unhealthy, Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55) 
