Host,Status,Remark
"server_3","Unhealthy","Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55)"
"server_4","Unhealthy","Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55)"
"server_5","Unhealthy","Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55)"
"server_6","Unhealthy","Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55)"
"server_7","Unhealthy","Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55)"
"server_8","Unhealthy","Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55)"
"server_9","Unhealthy","Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55)"
"server_10","Unhealthy","Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 333, Errors: 666)"
"server_11","Unhealthy","Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 333, Errors: 666)"
"server_17","Unhealthy","Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55)"
"server_18","Unhealthy","Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55)"
"server_19","Unhealthy","Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55)"
"server_1","Unhealthy","Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55)"
"server_2","Unhealthy","Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 33, Errors: 55)"
"server_15","Unhealthy","Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 3, Errors: 5)"
"server_16","Unhealthy","Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 3, Errors: 5)"
"server_1","No log found","Last checked: 2026-07-28"
"server_3","No log found","Last checked: 2026-07-28"
"server_4","No log found","Last checked: 2026-07-28"
"server_2","No log found","Last checked: 2026-07-28"
"server_5","No log found","Last checked: 2026-07-28"
"server_6","No log found","Last checked: 2026-07-28"
"server_7","No log found","Last checked: 2026-07-28"
"server_9","No log found","Last checked: 2026-07-28"
"server_10","Unhealthy","Last updated: : Tue Jul 28 10:14:25 2026 (UTC +0800) (Fails: 2, Errors: 1)"
"server_8","No log found","Last checked: 2026-07-28"
"server_12","Unhealthy","Last updated: : Tue Jul 28 11:18:33 2026 (UTC +0800) (Fails: 1, Errors: 0)"
"server_11","Unhealthy","Last updated: : Tue Jul 28 10:14:25 2026 (UTC +0800) (Fails: 2, Errors: 1)"
"server_15","No log found","Last checked: 2026-07-28"
"server_13","Unhealthy","Last updated: : Tue Jul 28 11:18:33 2026 (UTC +0800) (Fails: 1, Errors: 0)"
"server_14","Unhealthy","Last updated: : Tue Jul 28 11:18:33 2026 (UTC +0800) (Fails: 1, Errors: 0)"
"server_16","No log found","Last checked: 2026-07-28"
"server_17","Unhealthy","Last updated: : Fri Jul 24 14:58:47 2026 (UTC +0800) (Fails: 1, Errors: 1)"
"server_19","Unhealthy","Last updated: : Fri Jul 24 14:58:47 2026 (UTC +0800) (Fails: 1, Errors: 1)"
"server_18","Unhealthy","Last updated: : Fri Jul 24 14:58:47 2026 (UTC +0800) (Fails: 1, Errors: 1)"
"server_9","Unhealthy","Last updated: : Tue Jul 28 16:10:18 2026 (UTC +0800) (Fails: 3, Errors: 5)"
"server_12","No log found","Last checked: 2026-08-01"
"server_12","No log found","Last checked: 2026-08-02"
"server_13","No log found","Last checked: 2026-08-02"
"server_14","No log found","Last checked: 2026-08-02"
"server_12","No log found","Last checked: 2026-08-03"
"server_13","No log found","Last checked: 2026-08-03"
"server_1","Unhealthy","Last updated: : Fri Jul 03 16:02:55 2026 (UTC +0800) (Fails: 3, Errors: 5)"
"server_12","No log found","Last checked: 2026-08-04"
"server_13","No log found","Last checked: 2026-08-04"
